# numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric, timestamp(M/d/y H:m:s)
# wind_direction,wind_speed,rain_meter,solar_rad,soil_water_potential,soil_moisture_ectm,soil_temp_ectm,air_humid,air_temp,air_temp_tnx,ground_temp_tnx,timed
29.099,3.101,0,472.9,2062.27,31.744,8.5,75.15,6.32,7.1,12.85,6/23/2009 13:05
329.67,2.146,0,516.769,2057.39,31.848,8.5,74.391,6.31,7.288,12.225,6/23/2009 13:10
352.879,1.609,0,364.107,2057.39,31.744,8.5,75.89,6.26,7.35,12.163,6/23/2009 13:15
61.539,2.012,0,289.531,2059.83,31.744,8.5,81.034,6.04,6.975,11.163,6/23/2009 13:20
79.648,3.403,0,125.902,1952.38,29.456,11.2,70.564,15.45,15.6,16.038,7/14/2009 14:00
47.648,3.403,0,118.444,1947.5,29.456,11.2,70.021,15.61,15.663,15.975,7/14/2009 14:05
144.352,2.649,0,91.685,1957.27,29.456,11.2,73.418,15.43,15.538,15.6,7/14/2009 14:10
192.879,2.297,0,64.486,1952.38,29.456,11.2,70.94,15.42,15.413,15.35,7/14/2009 14:15
173.89,0.302,0,88.614,1949.94,29.456,11.2,75.157,15.39,15.35,15.475,7/14/2009 14:20
165.099,4.543,0,137.746,1954.82,29.456,11.2,73.394,15.04,14.725,14.6,7/14/2009 14:25
225.231,5.197,0,125.463,1949.94,29.456,11.2,77.576,14.89,14.038,14.538,7/14/2009 14:30
219.604,3.604,0,173.28,1949.94,29.456,11.3,73.546,15.27,14.6,15.288,7/14/2009 14:35
187.253,3.554,0,160.997,1952.38,29.352,11.3,70.499,15.68,15.225,15.6,7/14/2009 14:40
145.055,1.609,0,143.011,1947.5,29.352,11.3,70.371,15.73,15.6,15.913,7/14/2009 14:45
199.56,4.258,0,193.021,1957.27,29.56,11.3,74.311,15.38,15.6,15.663,7/14/2009 14:50
