# wind_direction,wind_speed,rain_meter,solar_rad,soil_moisture_ectm,soil_temp_ectm,air_humid,air_temp,timed
# numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric, timestamp(y-M-d H:m:s)
4.835,3.051,0,934.395,42.04,12.1,68.959,16.12,7/3/2009 11:25
30.066,2.8,0,730.846,42.04,11.9,57.637,16.98,7/3/2009 11:30
64.176,2.129,0,1020.38,42.248,12,62.825,17.17,7/3/2009 11:35
65.934,2.213,0,950.188,42.04,11.9,65.641,17.34,7/3/2009 11:40
54.681,3.051,0,1008.09,42.144,12.2,62.956,16.91,7/3/2009 11:45
37.978,3.638,0,997.565,42.04,11.9,65.704,16.56,7/3/2009 11:50
44.308,2.163,0,813.318,42.144,12.1,63.454,16.78,7/3/2009 11:55
87.033,2.263,0,720.318,42.144,12,67.986,17.04,7/3/2009 12:00
0,1.391,0,969.49,42.04,12.2,65.537,17.07,7/3/2009 12:05
0.088,2.85,0,597.486,42.352,12.1,67.916,16.65,7/3/2009 12:10
60.308,3.168,0,636.09,42.04,12.2,64.028,16.6,7/3/2009 12:15
55.385,2.481,0,1032.66,42.248,12.3,66.852,16.66,7/3/2009 12:20
14.681,1.458,0,1011.6,41.936,12.5,67.604,16.47,7/3/2009 12:25
192.176,2.397,0,686.978,42.144,12.3,64.304,16.2,7/3/2009 12:30
90.198,1.308,0,894.036,42.248,12.1,66.076,16.42,7/3/2009 12:35
174.945,1.66,0,653.638,42.248,12.2,69.289,16.11,7/3/2009 12:40
275.516,1.509,0,981.773,42.04,12.4,68.297,16.6,7/3/2009 12:45
20.747,3.487,0,929.131,42.248,12.2,66.68,16.48,7/3/2009 12:50
104.615,2.682,0,578.623,42.04,12.2,68.993,15.7,7/3/2009 12:55
168.967,0.788,0,962.471,42.144,12.3,70.42,16.28,7/3/2009 13:00
100.747,1.157,0,983.527,42.248,12.5,67.84,17.32,7/3/2009 13:05
158.066,1.425,0,922.112,42.248,12.5,67.203,16.58,7/3/2009 13:10
141.187,1.09,0,962.471,41.936,12.5,66.924,16.75,7/3/2009 13:15
121.143,1.224,0,911.583,42.04,12.5,67.361,16.52,7/3/2009 13:25
138.022,0.838,0,988.792,42.248,12.5,66.634,16.7,7/3/2009 13:30
168.264,1.241,0,586.958,42.144,12.6,66.599,16.5,7/3/2009 13:35
157.363,1.475,0,950.188,42.352,12.7,65.96,16.4,7/3/2009 13:40
159.121,0.654,0,971.244,41.936,12.6,64.84,16.66,7/3/2009 13:45
126.066,1.727,0,929.131,42.352,12.5,65.338,16.74,7/3/2009 13:50
138.374,0.553,0,1009.85,42.144,12.7,64.357,16.68,7/3/2009 13:55
101.099,0.704,0,451.844,42.04,12.6,65.397,17.08,7/3/2009 14:00
108.484,0.855,0,586.958,42.144,12.7,66.904,16,7/3/2009 14:05
151.736,0.184,0,222.851,42.04,12.7,66.603,15.41,7/3/2009 14:10
80,1.09,0,212.323,41.936,12.7,69.587,14.75,7/3/2009 14:15
86.154,0.469,0,213.639,42.04,12.9,70.015,15.14,7/3/2009 14:20
142.593,1.559,0,992.301,42.248,12.6,65.456,15.78,7/3/2009 14:25
179.868,0.788,0,197.407,42.248,12.8,68.793,15.97,7/3/2009 14:30
112.352,0.956,0,285.583,42.04,12.8,72.209,14.58,7/3/2009 14:35
75.077,1.928,0,296.55,42.248,12.9,74.24,13.97,7/3/2009 14:40
96.176,0.285,0,788.752,42.144,12.9,72.684,14.68,7/3/2009 14:45
192.176,0.553,0,586.958,42.144,12.9,70.901,14.93,7/3/2009 14:50
163.341,0.469,0,331.206,42.144,13,73.438,14.32,7/3/2009 14:55
94.066,0.838,0,257.068,42.04,13,74.025,14.08,7/3/2009 15:00
82.11,1.458,0,266.719,42.352,13,73.966,13.78,7/3/2009 15:05
49.407,2.112,0,339.541,42.352,12.9,74.319,13.97,7/3/2009 15:10
156.659,1.458,0,423.768,42.248,13,74.521,14.32,7/3/2009 15:15
179.516,0.05,0,244.785,42.352,12.8,73.313,14.22,7/3/2009 15:20
177.055,0.469,0,161.435,42.248,12.9,73.535,13.74,7/3/2009 15:25
141.89,0.386,0,444.825,42.144,13,75.074,13.43,7/3/2009 15:30
158.066,0.101,0,451.844,42.04,13.1,76.18,13.76,7/3/2009 15:35
78.418,0.956,0,662.411,42.144,13.2,77.458,13.84,7/3/2009 15:40
215.033,0.687,0,648.374,42.352,13.1,73.208,14.23,7/3/2009 15:45
100.747,0.721,0,138.185,42.352,12.8,73.847,13.98,7/3/2009 15:50
31.121,1.19,0,616.788,42.352,13.1,76.188,13.42,7/3/2009 15:55
109.538,1.71,0,292.163,42.352,13.1,74.525,12.78,7/3/2009 16:00
148.923,0.905,0,129.85,42.04,12.9,72.832,12.72,7/3/2009 16:05
155.956,0.251,0,110.987,42.248,13.2,73.708,12.62,7/3/2009 16:10
210.11,1.09,0,158.803,42.04,13.4,73.524,12.62,7/3/2009 16:15
142.242,0.218,0,186.002,42.04,13.1,72.181,12.92,7/3/2009 16:20
41.055,1.76,0,172.841,42.352,13.1,79.351,12.63,7/3/2009 16:25
188.308,0.956,0,196.091,42.144,13.3,79.238,12.34,7/3/2009 16:30
181.626,0.352,0,173.718,42.248,13.4,79.442,12.36,7/3/2009 16:35
174.242,0.251,0,145.643,42.248,13.4,80.245,12.28,7/3/2009 16:40
196.044,2.146,0,135.992,42.352,13.4,83.583,11.64,7/3/2009 16:45
127.473,0.117,0,143.888,42.04,13.1,83.248,11.85,7/3/2009 16:50
132.044,1.207,0,95.633,42.352,13.5,84.086,11.65,7/3/2009 16:55
173.538,0.05,0,88.175,42.144,13.4,84.573,11.6,7/3/2009 17:00
104.967,0.168,0,112.303,42.352,13.4,84.147,11.4,7/3/2009 17:05
162.286,0.05,0,58.784,42.04,13.4,83.904,11.38,7/3/2009 17:10
188.659,0.436,0,44.307,42.04,13.4,82.538,10.96,7/3/2009 17:15
185.846,1.023,0,45.623,42.248,13.3,80.65,10.88,7/3/2009 17:20
193.934,0.101,0,38.165,42.248,13.5,82.148,10.94,7/3/2009 17:25
193.582,0,0,39.043,42.04,13.4,81.068,10.89,7/3/2009 17:30
193.934,0.285,0,37.288,42.04,13.2,80.679,10.9,7/3/2009 17:35
200.967,0.687,0,26.76,42.144,13.4,82.092,10.8,7/3/2009 17:40
155.253,0.52,0,41.236,42.248,13.6,84.466,10.74,7/3/2009 17:45
201.319,1.224,0,37.727,42.248,13.4,84.659,10.76,7/3/2009 17:50
183.385,0.017,0,31.147,42.04,13.4,85.255,10.7,7/3/2009 17:55
183.736,0.251,0,28.076,42.248,13.5,85.192,10.73,7/3/2009 18:00
182.33,0,0,32.463,42.352,13.4,85.641,10.75,7/3/2009 18:05
71.912,1.039,0,32.463,42.04,13.3,86.496,10.64,7/3/2009 18:10
173.538,1.09,0,24.128,42.04,13.5,88.955,10.45,7/3/2009 18:15
85.714,0.671,0,18.863,42.04,13.4,90.145,10.39,7/3/2009 18:20
157.714,0.587,0,21.057,42.248,13.5,90.396,10.42,7/3/2009 18:25
84.923,1.274,0,11.844,42.144,13.5,90.574,10.34,7/3/2009 18:30
201.319,1.073,0,14.038,42.248,13.6,91.212,10.26,7/3/2009 18:35
198.857,0.285,0,11.844,42.04,13.4,91.305,10.2,7/3/2009 18:40
198.505,0.034,0,4.387,42.04,13.4,91.178,10.3,7/3/2009 18:45
108.484,0.603,0,9.212,42.248,13.5,90.703,10.33,7/3/2009 18:50
58.198,1.408,0,4.826,42.04,13.4,90.664,10.35,7/3/2009 18:55
352.879,0.117,0,7.896,42.04,13.4,90.877,10.32,7/3/2009 19:00
192.879,0.637,0,6.58,42.04,13.4,90.514,10.28,7/3/2009 19:05
249.846,0.905,0,5.264,42.248,13.6,91.038,10.18,7/3/2009 19:10
251.604,0.017,0,4.826,42.352,13.2,91.47,10.08,7/3/2009 19:15
145.055,0.235,0,2.632,42.248,13.6,91.147,10.01,7/3/2009 19:20
145.055,0,0,1.316,42.248,13.4,91.219,9.95,7/3/2009 19:25
108.835,0.637,0,0,42.248,13.2,91.535,9.91,7/3/2009 19:30
196.747,0.52,0,0.439,42.248,13.3,91.477,9.94,7/3/2009 19:35
221.011,1.241,0,0,42.248,13.2,91.188,10,7/3/2009 19:40
221.011,0.05,0,1.755,42.04,13.3,91.095,9.98,7/3/2009 19:45
169.319,0,0,0,42.144,13.5,91.064,9.86,7/3/2009 19:50
169.67,0,0,0.439,42.352,13.4,91.31,9.8,7/3/2009 19:55
120.791,0,0,0,42.248,13.4,91.653,9.78,7/3/2009 20:00
120.791,0.302,0,0,41.936,13.2,91.653,9.78,7/3/2009 20:05
120.44,0.386,0,0.439,41.936,13.4,91.577,9.74,7/3/2009 20:10
186.549,0.251,0,0.439,42.248,13.4,91.553,9.73,7/3/2009 20:15
185.495,0.034,0,0,41.936,13.4,91.94,9.72,7/3/2009 20:20
185.846,0,0,0.439,42.04,13.3,92.575,9.68,7/3/2009 20:25
185.495,0.017,0,0.439,42.144,13.3,92.896,9.68,7/3/2009 20:30
185.846,0,0,0,42.248,13.4,93.3,9.68,7/3/2009 20:35
