# Date,WindS,WindDir,RelHum,AirT,SWglobal,Iprec
18/06/2009 13:00,3.336,122.159,51.480,17.96,977.41000,0.000
18/06/2009 14:00,1.730,94.165,52.468,17.64,572.35700,0.000
18/06/2009 15:00,0.084,158.670,59.981,16.11,147.20000,0.000
18/06/2009 16:00,0.000,193.368,62.744,15.09,69.84030,0.000
18/06/2009 17:00,0.919,204.511,73.466,13.36,33.39670,0.000
18/06/2009 18:00,0.888,210.687,85.263,12.24,5.08970,0.000
18/06/2009 19:00,0.500,209.495,85.595,11.89,0.43868,0.000
18/06/2009 20:00,2.327,193.500,84.955,11.36,0.00000,0.254
18/06/2009 21:00,3.621,211.137,78.962,10.94,1.19341,0.000
18/06/2009 22:00,4.593,238.148,74.577,11.49,0.00000,0.000
18/06/2009 23:00,4.560,203.214,77.063,11.55,0.00000,0.508
19/06/2009 00:00,4.677,211.593,80.881,15.60,0.87737,0.508
19/06/2009 01:00,5.138,210.588,80.843,16.08,0.81605,0.000
19/06/2009 02:00,4.457,233.088,81.687,10.34,0.00000,0.254
19/06/2009 03:00,0.352,268.247,83.078,9.37,15.50000,0.000
19/06/2009 04:00,1.308,164.852,80.011,10.66,135.14650,0.000
19/06/2009 05:00,0.872,32.286,82.951,11.67,164.16300,0.000
19/06/2009 06:00,1.134,74.709,80.454,11.44,461.92060,0.000
19/06/2009 07:00,2.367,54.060,79.162,12.57,454.75100,0.000
19/06/2009 08:00,1.525,225.363,86.291,11.78,625.95500,0.508
19/06/2009 09:00,2.598,81.000,85.570,13.68,861.14000,0.000
19/06/2009 10:00,1.827,71.071,84.549,12.90,289.57900,1.016
19/06/2009 11:00,0.771,122.698,89.082,10.44,92.21800,1.778
19/06/2009 12:00,1.344,200.709,89.398,14.70,130.51930,1.270
19/06/2009 13:00,1.187,133.225,91.608,15.14,159.90700,0.000
19/06/2009 14:00,1.079,42.418,95.531,9.56,120.31200,0.762
19/06/2009 15:00,0.134,91.126,96.585,9.20,76.44400,1.270
19/06/2009 16:00,0.701,118.676,97.994,8.48,19.02390,4.826
19/06/2009 17:00,1.727,60.808,99.364,6.51,4.14156,3.810
19/06/2009 18:00,1.310,59.313,99.960,4.80,0.81605,5.080
19/06/2009 19:00,0.536,78.198,99.811,3.93,0.50000,0.762
