"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"0","6,887489","45,879446","3750",
"1","6,88762","45,878993","3750",
"2","6,887391","45,879083","3750",
"3","6,886823","45,879243","3750",
"4","6,886902","45,879011","3750",
"5","6,887519","45,87931","3750",
"6","6,887177","45,879532","3750",
"7","6,887523","45,878458","3750",
"8","6,886813","45,878913","3750",
"9","6,888173","45,878611","3754",
"10","6,887625","45,878244","3741",
"15","6,887902","45,878943","3825",
"16","6,886505","45,878946","3723",
"17","6,887404","45,879565","3710",
