"DEVICE_ID","BEGIN","END","POSITION","COMMENT"

# access node mapping
# access node AdM begin until open end
"29","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","0","access node"



# sensor node mapping
# Deployment AdM 01.07.2012
"2121","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","1","West Face Piton Central Top Crack"
"2105","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","2","West Face Piton Central Bottom Crack"
"2110","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","3","West Face Piton Nord"
"2109","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","4","South Face Piton Nord"
"2108","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","5","East Face Piton Nord"
"2111","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","6","North Face Piton Nord"
"2120","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","10","Relais1 Piton Central"
