"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"

"1","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","adccomdiff_ctnn",1,
"2","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","adccomdiff_cnnn",2,
"3","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","adccomdiff_cnnn",3,
"4","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","adccomdiff_ctnn",2,
"5","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","adccomdiff_cnnn",1,
"6","2012-07-09 00:00:00+02:00","9999-01-01 00:00:00","adccomdiff_ctnn",3,

"0","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","0","BaseBoard v2 r1.0"
"1","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1","SIB"
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1","SIB"
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1","SIB"
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1","SIB"
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1","SIB"
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1","SIB"

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","10270716",
