"SENSORTYPE_ARGS","PHYSICAL_SIGNAL","VALUE","COMMENT"

# adccomdiff_ctnn
"1","ctnn_dx0","100",
"1","ctnn_t1","0.0",
"2","ctnn_dx0","150",
"2","ctnn_t1","0.0",
"3","ctnn_dx0","200",
"3","ctnn_t1","0.0",

# adccomdiff_cnnn
"1","cnnn_dx0","100",
"2","cnnn_dx0","150",
"3","cnnn_dx0","200",

# nodehealth
"0","sdivoltage","0.0046805046805","BaseBoard v2 r2.0"
"0","sysvoltage","0.0007326007326","BaseBoard v2 r2.0"
"1","sdivoltage","0.00033203125","sib"
"1","sysvoltage","0.0000634765625","sib"
"2","sdivoltage","0.0043956043956","powerswitch"
"2","sysvoltage","0.0009768009768","powerswitch"
"3","sdivoltage","0.00483","AEBoard"
"3","sysvoltage","0.00091","AEBoard"
