"DEVICE_ID","BEGIN","END","POSITION","COMMENT"

################################################################################################
# access node mapping
################################################################################################
# position 0
"0","2010-08-04 00:00:00+02:00","2010-12-15 12:00:00+01:00","0","access node"
"4","2010-12-15 12:00:00+01:00","2011-08-11 14:07:00+02:00","0","access node gps"
"5","2011-08-11 14:07:00+02:00","9999-01-01 00:00:00","0","access node gps"
# position 8
"1","2011-01-12 00:00:00+02:00","9999-01-01 00:00:00","8","access node randa hut"
# position 39
"6","2011-08-17 13:37:21+02:00","9999-01-01 00:00:00","39","access node gps Grabengufer Top Ridge"
# position 4
"19","2012-07-17 12:00:00+02:00","9999-01-01 00:00:00","4","access node gps"

################################################################################################
# sensor node mapping
################################################################################################
# position 1
"2077","2010-08-04 00:00:00+02:00","2011-03-09 12:00:00+02:00","1","Above Europaweg North"
"2062","2011-03-09 12:00:00+02:00","2012-07-17 00:00:00","1","Above Europaweg North"
# position 2
"2045","2010-12-15 12:00:00+02:00","2011-03-08 12:00:00+02:00","2","Top Dirru Rockglacier"
"2053","2011-03-08 12:00:00+02:00","2011-08-11 18:52:16+02:00","2","Top Dirru Rockglacier"
"2087","2011-08-11 18:52:16+02:00","2012-07-17 12:00:00","2","Top Dirru Rockglacier"
"2143","2012-07-17 12:00:00+02:00","9999-01-01 00:00:00","2","Top Dirru Rockglacier"
## position 3
"2048","2010-08-17 00:00:00+02:00","9999-01-01 00:00:00","3","Randa Hut"
# position 5
"9999","2011-03-08 12:00:00+02:00","2011-05-02 11:50:00+02:00","5","Mid Dirru Rockglacier, DI5"
"9998","2011-05-02 11:55:00+02:00","2011-08-11 17:01:43+02:00","5","Mid Dirru Rockglacier, DI5"
"8000","2011-08-16 18:58:52+02:00","9999-01-01 00:00:00","5","Mid Dirru Rockglacier, DI5"
# position 6
"2144","2012-07-17 12:00:00+02:00","9999-01-01 00:00:00","6","Bottom Dirru Rockglacier"
# position 7
"7006","2010-12-15 12:00:00+02:00","2011-03-09 12:00:00+02:00","7","GPS Logger Bottom Dirru Rockglacier"
"6666","2011-03-09 12:00:00+02:00","9999-01-01 00:00:00","7","GPS Logger Bottom Dirru Rockglacier"
# position 9
"2060","2010-08-04 00:00:00+02:00","2011-05-02 00:00:00+02:00","9","Mid Dirru Blockglacier"
"2146","2012-07-17 12:00:00+02:00","9999-01-01 00:00:00","9","Mid Dirru Rockglacier"
# position 10
"2016","2010-12-15 12:00:00+02:00","2011-03-08 12:00:00+02:00","10","Powerbox Base Station"
"2033","2011-03-08 12:00:00+02:00","9999-01-01 00:00:00","10","Powerbox Base Station"
# position 11
"6002","2010-12-15 12:00:00+02:00","9999-01-01 00:00:00","11","Webcam Power Switch"
# position 12
"8888","2011-03-08 12:00:00+02:00","9999-01-01 00:00:00","12","Corestation near Base Station"
# position 13
"2051","2011-03-08 12:00:00+02:00","9999-01-01 00:00:00","13","Weather station near Base Station"
# position 20
"2060","2011-05-02 00:00:00+02:00","9999-01-01 00:00:00","20","Relay Europaweg above Herbriggen"
# position 22
"2086","2011-05-17 15:00:00+02:00","9999-01-01 00:00:00","22","Laengschnee Below Open Fracture"
# position 24
