"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"
"0","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"1","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","2","PowerSwitch"
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"8","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"

