"DEVICE_ID","BEGIN","END","POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"0","1970-01-01 00:00:00","9999-01-01 00:00:00","0","8.552925","47.377305","527",
"666","1970-01-01 00:00:00","9999-01-01 00:00:00","1","8.552648","47.377964","527",
"123","1970-01-01 00:00:00","9999-01-01 00:00:00","3","8.552639","47.377559","527",
"5006","1970-01-01 00:00:00","9999-01-01 00:00:00","2","8.552661","47.377982","527",
"2050","1970-01-01 00:00:00","9999-01-01 00:00:00","4","8.552661","47.377973","527",
"2087","1970-01-01 00:00:00","9999-01-01 00:00:00","5","8.552661","47.377973","527",
"2063","1970-01-01 00:00:00","9999-01-01 00:00:00","6","8.552404","47.377715","527",
"2079","1970-01-01 00:00:00","9999-01-01 00:00:00","7","8.552873","47.377341","527",
"7777","1970-01-01 00:00:00","9999-01-01 00:00:00","8","8.552513","47.377858","527",
"8888","1970-01-01 00:00:00","9999-01-01 00:00:00","9","8.552513","47.377858","527",
