"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"
"0","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"1","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"8","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"9","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"10","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"11","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"12","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"13","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","0","BaseBoard v2 r2.0"
"14","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"15","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"16","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"17","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"18","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"19","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"20","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"21","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"22","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"23","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"24","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"25","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"26","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"27","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"28","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"29","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"30","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"31","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"32","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"33","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"34","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"35","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"36","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"37","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"38","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"39","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"40","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"41","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"42","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"43","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"44","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"45","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"46","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"47","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"48","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"49","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
"50","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",""
