"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"0","7.9853714980536","46.547608345931","3621.03381068",
"1","7.9843506466971","46.547226427782","3621.035767",
"2","7.9838275057112","46.547067011578","3621.03667852",
"3","7.9839578829843","46.547066386655","3621.03655252",
"4","7.9839178639042","46.54697662037","3621.03681672",
"5","7.9857137543094","46.547930549756","3621.03266804",
"6","7.9856092690981","46.547913060564","3621.03281412",
"7","7.9856361628474","46.547993893568","3621.03258516",
"8","7.985624033648","46.548083910019","3621.03237136",
"9","7.9848387608076","46.547790821343","3621.03387448",
"10","7.9847744786385","46.547881088096","3621.03371108",
"11","7.9852155886177","46.547663070023","3621.03382604",
"12","7.9851761118098","46.547627276442","3621.0339544",
"13","7.985358","46.547572","3621"
"14","7.9838934190345","46.547138662157","3621.0364344",
"15","7.9837611397439","46.546950384071","3621.03703584",
"16","7.9837614114349","46.546977370204","3621.03696792",
"17","7.9860006797696","46.547938165348","3621.0323682",
