"DEVICE_ID","BEGIN","END","POSITION","COMMENT"

# access node mapping
# access node Jungfraujoch begin until 2010-06-10 23:28:41+02:00
"1","2008-12-18 16:00:00+01:00","2010-01-14 15:00:00+01:00","0","access node"

# access node Jungfraujoch 14.01.2010 14:00:00+02:00 until 2011-09-07 16:30:00+02:00
"0","2010-01-14 15:00:01+01:00","2011-09-07 16:30:00+02:00","0","access node"

# access node Jungfraujoch 2011-09-07 16:30:00+02:00 until open end
"7","2011-09-07 16:30:01+02:00","9999-01-01 00:00:00","0","access node"
"9","2011-09-08 09:00:00+02:00","9999-01-01 00:00:00","28","access node 2"



# sensor node mapping
# Deployment Jungfraujoch 07.02.2009 00:00:00+01:00 until 01.07.2009 00:00:00+02:00
"2004","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","1","south snowfield"
"2015","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","2","south upper gully"
"2002","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","3","south upper ridge"
"2014","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","4","south bottom"
"2005","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","5","north left top"
"2006","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","6","north left middle"
"2007","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","7","north left bottom"
"2008","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","8","north left ice"
"2012","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","9","north right top"
"2010","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","10","north right ice"
"2011","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","11","Relay top railing north"
"2027","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","12","Relay top railing south"
"2032","2009-02-07 00:00:00+01:00","2009-07-01 00:00:00+02:00","13","Relay visitor terrace south"

# Deployment Jungfraujoch 03.07.2009 00:00:00+02:00 until 14.01.2010 00:00:00+01:00
"2007","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","1","south snowfield"
"2012","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","2","south upper gully"
"2010","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","3","south upper ridge"
"2004","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","4","south bottom"
"2015","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","5","north left top"
"2002","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","6","north left middle"
"2006","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","7","north left bottom"
"2014","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","8","north left ice"
"2008","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","9","north right top"
"2005","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","10","north right ice"
"2032","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","11","Relay top railing north"
"2027","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","12","Relay top railing south"
"2025","2009-07-03 00:00:00+02:00","2010-01-14 00:00:00+01:00","14","Relay south face"

# Deployment Jungfraujoch 16.01.2010 00:00:00+01:00
"2007","2010-01-16 00:00:00+01:00","2010-09-01 11:50:00+02:00","1","south snowfield"
"2012","2010-01-16 00:00:00+01:00","9999-01-01 00:00:00","2","south upper gully"
"2010","2010-01-16 00:00:00+01:00","2011-09-09 00:00:00","3","south upper ridge"
"2004","2010-01-16 00:00:00+01:00","9999-01-01 00:00:00","4","south bottom"
"2015","2010-01-16 00:00:00+01:00","9999-01-01 00:00:00","5","north left top"
"2002","2010-01-16 00:00:00+01:00","9999-01-01 00:00:00","6","north left middle"
"2006","2010-01-16 00:00:00+01:00","9999-01-01 00:00:00","7","north left bottom"
"2014","2010-01-16 00:00:00+01:00","9999-01-01 00:00:00","8","north left ice"
"2008","2010-01-16 00:00:00+01:00","2010-09-01 12:47:00+02:00","9","north right top"
"2005","2010-01-16 00:00:00+01:00","2010-09-01 13:23:00+02:00","10","north right ice"
"2032","2010-01-16 00:00:00+01:00","2010-09-18 18:30:00+02:00","11","Relay top railing north"
"2027","2010-01-16 00:00:00+01:00","2010-09-18 18:30:00+02:00","12","Relay top railing south"
"2025","2010-01-16 00:00:00+01:00","2011-06-20 00:00:00+02:00","14","Relay south face"

# Acoustic trials 6.4.2010, added relays
"2020","2010-04-06 00:00:00+01:00","2010-04-05 00:00:00+02:00","15","Relay research station terrace"
"2051","2010-04-06 00:00:00+01:00","2010-04-05 00:00:00+02:00","16","Relay research station hut"

# added 2010-09-01, correction pos 1 and 9 by JB, 23.09.2010
"2011","2010-09-01 11:50:00+02:00","9999-01-01 00:00:00","9","north right top"
"2017","2010-09-01 12:47:00+02:00","2011-09-09 00:00:00","1","south snowfield"
"2038","2010-09-01 13:23:00+02:00","9999-01-01 00:00:00","10","north right ice"

# changed relays for north side connectivity on 18-09-2010
"2005","2010-09-18 18:30:00+02:00","2010-10-26 18:30:00+02:00","11","Relay top railing north"
"2008","2010-09-18 18:30:00+02:00","2011-09-09 00:00:00","12","Relay top railing west"

# changed relays for north side connectivity on 26-10-2010
"2007","2010-10-26 18:30:00+02:00","2010-11-06 12:00:00+01:00","11","Relay top railing north"

# new relay node on NE ridge 06.11.2010
"2007","2010-11-06 12:00:00+02:00","2011-09-09 00:00:00","17","Relay NE Ridge"
"2032","2010-11-06 12:00:00+02:00","2010-12-09 12:00:00+02:00","11","Relay top railing north"

# 
"2027","2010-12-09 12:00:00+02:00","2011-09-09 00:00:00","11","Relay top railing north"

# 04.04.2011
"2020","2010-04-05 00:00:00+02:00","2011-06-20 00:00:00+02:00","19","Relay south face right"
"2051","2010-04-05 00:00:00+02:00","2011-06-20 00:00:00+02:00","18","Jungfraujoch Tourist Webcam"

# 20.6.2011
"2098","2011-06-20 00:00:00+02:00","9999-01-01 00:00:00","21","Acoustic sensor top"
"2097","2011-06-20 00:00:00+02:00","9999-01-01 00:00:00","23","Acoustic sensor bottom"
"2020","2011-06-20 00:00:00+02:00","2011-09-09 00:00:00","20","Relay 3rd ridge south"
"2051","2011-06-20 00:00:00+02:00","2012-03-13 10:00:00+02:00","26","Relay south snowfield"
"2025","2011-06-20 00:00:00+02:00","2011-09-09 00:00:00","19","Relay south face right"

# 08.09.2011 relay node changes
"2061","2011-09-08 00:00:00+02:00","9999-01-01 00:00:00","19","Sentek top"
"2057","2011-09-08 00:00:00+02:00","9999-01-01 00:00:00","22","TH3 top"
"2073","2011-09-08 00:00:00+02:00","9999-01-01 00:00:00","24","Sentek bottom"
"2053","2011-09-08 00:00:00+02:00","9999-01-01 00:00:00","25","TH3 bottom"
"2005","2011-09-09 00:00:00+00:00","9999-01-01 00:00:00","3","south upper ridge"
"6010","2011-09-09 00:00:00+02:00","9999-01-01 00:00:00","20","Webcam 3rd ridge south"
"2007","2011-09-09 00:00:00","9999-01-01 00:00:00","1","south snowfield"
"2010","2011-09-09 00:00:00","9999-01-01 00:00:00","17","Relay NE Ridge"
"2020","2011-09-09 00:00:00","2011-10-18 00:00:00","16","Relay research station hut"
"2027","2011-09-09 00:00:00","2011-10-18 00:00:00","12","Relay sphinx top railing west"
"2008","2011-09-09 00:00:00","2011-10-18 00:00:00","27","Relay sphinx top railing south"
"2025","2011-09-09 00:00:00","2011-10-18 00:00:00","11","Relay sphinx top railing north"


# 18.10.2011 relay node changes
"2021","2011-10-18 00:00:00","9999-01-01 00:00:00","16","Relay research station hut"
"2024","2011-10-18 00:00:00","2012-03-13 10:00:00+02:00","12","Relay sphinx top railing west"
"2036","2011-10-18 00:00:00","2012-03-13 10:00:00+02:00","27","Relay sphinx top railing south"
"2003","2011-10-18 00:00:00","2012-08-29 10:00:00","11","Relay sphinx top railing north"

"2036","2012-03-13 10:00:00+02:00","2012-08-29 10:00:00","12","Relay sphinx top railing west"
"2113","2012-03-13 10:00:00+02:00","9999-01-01 00:00:00","26","Relay south snowfield"


"2020","2012-08-29 10:00:00","9999-01-01 00:00:00","12","Relay sphinx top railing north"
"2017","2012-08-29 10:00:00","9999-01-01 00:00:00","11","Relay sphinx top railing west"

