"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"9","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,

"8","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tc",,
"10","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tc",,

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264083560",
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264081159",
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264080058",
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264083570",
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264080053",
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264081154",
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264078679",
"9","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264083545",

"0","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","0","BaseBoard v2 r1.0"
"1","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"8","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"9","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"10","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"11","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"12","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"13","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"14","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"15","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"16","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"17","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",

"20","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"21","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","3","AEBoard"
"22","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"23","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht21","3","AEBoard"
"24","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"25","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
"26","1970-01-01 00:00:00","9999-01-01 00:00:00","nodehealth_sht11","1",
