"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"0","7.671042","45.981137","3502.7637288",
"1","7.670342","45.980766","3494.7650382",
"2","7.670103","45.980461","3494.7651386",
"3","7.67037","45.981065","3494.7651516",
"4","7.670637","45.981187","3494.76480904",
"5","7.670010","45.980608","3494.76503032",
"6","7.669999","45.980521","3494.76499508",
"7","7.671116","45.981272","3469.76347464",
"8","7.671225","45.981323","3465.76348468",
"9","7.669048","45.980137","3585.76647556",
"10","7.671238","45.980796","3450.76387468",
"11","7.670752","45.981440","3494.7642576",
"12","7.671043","45.981262","3514.76347208",
"13","7.670056","45.980502","3494.7650504",
"14","7.670936","45.981125","3502.76366344",
"15","7.6709857233029","45.98112593438","3505.7637038",
"16","7.670366","45.980929","3542",
"17","7.668404","45.980588","3606.766121",
"18","7.6675888450145","45.980332302595","3745.76903256",
"19","7.6710989","45.981168","3502.76355772",
"20","7.670438","45.980418","3494.7650376",
"21","7.670732","45.980262","3494.765553",
"22","7.670182","45.981452","3541.7640822",
"23","7.670941","45.981213","3502.7635276",
"24","7.668878","45.980579","3586.76593692",
"25","7.670960","45.981257","3502.76345712",
"26","7.670911","45.981193","3502.7634144",
"28","7.669692","45.980634","3502.7634144",
"29","7.669897","45.980601","3502.7634144",
"30","7.676992"," 45.982213","3260",

