"DEVICE_ID","BEGIN","END","POSITION","COMMENT"
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","0",
"1","1970-01-01 00:00:00","9999-01-01 00:00:00","1",
"100","1970-01-01 00:00:00","9999-01-01 00:00:00","100",
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","3",
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","4",
"101","1970-01-01 00:00:00","9999-01-01 00:00:00","101",
"102","1970-01-01 00:00:00","9999-01-01 00:00:00","102",
"103","1970-01-01 00:00:00","9999-01-01 00:00:00","103",
"200","1970-01-01 00:00:00","9999-01-01 00:00:00","200",
"2006","1970-01-01 00:00:00","9999-01-01 00:00:00","2006",
"300","1970-01-01 00:00:00","9999-01-01 00:00:00","300",
"301","1970-01-01 00:00:00","9999-01-01 00:00:00","301",
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","5",
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","6",
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","7",
"8","1970-01-01 00:00:00","9999-01-01 00:00:00","8",
