"NODE_ID","BEGIN","END","POSITION","COMMENT"
"0","1970-01-01 00:00:00","9999-01-01 00:00:00","0",
"2011","1970-01-01 00:00:00","9999-01-01 00:00:00","1",
"2017","1970-01-01 00:00:00","9999-01-01 00:00:00","4",
"2020","1970-01-01 00:00:00","2009-11-27 00:00:00+01:00","6",
"2020","2009-11-29 00:00:00+01:00","9999-01-01 00:00:00","7",
"2041","1970-01-01 00:00:00","9999-01-01 00:00:00","3",
"2038","1970-01-01 00:00:00","9999-01-01 00:00:00","5",
"2050","1970-01-01 00:00:00","9999-01-01 00:00:00","2",
"4000","1970-01-01 00:00:00","9999-01-01 00:00:00","8",
"4001","1970-01-01 00:00:00","9999-01-01 00:00:00","9",
