"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"a0_1","sr_tttttt_ref1","thermistor44006",""
"a0_2","sr_tttttt_ref2","thermistor44006",""
"a0_3","sr_tttttt_t2","thermistor44006",""
"a0_4","sr_tttttt_t3","thermistor44006",""
"a0_5,"sr_tttttt_t4","thermistor44006",""
"a0_6","sr_tttttt_t5","thermistor44006",""
"a0_7","sr_tttttt_ref1","thermistor44006",""
"a0_8","sr_tttttt_ref2","thermistor44006",""
"a0_9","sr_tttttt_t6","thermistor44006",""
"a0_10","sr_tttttt_t2","thermistor44006",""
"a0_11","sr_tttttt_t3","thermistor44006",""
"a0_12","sr_tttttt_t4","thermistor44006",""
"a0_13","sr_tttttt_t5","thermistor44006",""
"a0_14","sr_tttttt_t2","thermistor44006",""
"a0_15","sr_tttttt_t3","thermistor44006",""
"a0_16","sr_tttttt_t4","thermistor44006",""
"a0_17","sr_tttttt_t1","thermistor44006",""
"a0_18","sr_tttttt_ref1","thermistor44006",""
"a0_19","sr_tttttt_ref2","thermistor44006",""
"a0_20","sr_tttttt_t6","thermistor44006",""
