"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"payload_a0_1","tc_ref1","thermistor44006",""
"payload_a0_2","tc_ref2","thermistor44006",""
"payload_a0_3","tc_t1","thermistor44006",""
"payload_a0_4","tc_t2","thermistor44006",""
"payload_a0_5","tc_t3","thermistor44006",""
"payload_a0_6","tc_t4","thermistor44006",""
"payload_a0_7","tc_ref3","thermistor44006",""
"payload_a0_8","tc_ref4","thermistor44006",""
"payload_a0_10","tc_t5","thermistor44006",""
"payload_a0_11","tc_t6","thermistor44006",""
"payload_a0_12","tc_t7","thermistor44006",""
"payload_a0_13","tc_t8","thermistor44006",""
