"DEVICE_ID","BEGIN","END","POSITION","COMMENT"

# access node mapping
# access node Thur begin until open end
"0","1970-01-01 00:00:00","9999-01-01 00:00:00","0","access node"



# sensor node mapping
# Deployment Thur 25.03.2010
"2049","2010-03-30 14:45:19+02:00","2010-08-06 14:43:00+02:00","1",""
"2052","2010-03-30 12:35:31+02:00","2010-08-06 16:20:00+02:00","4",""
"2053","2010-03-30 12:35:55+02:00","2010-08-06 16:15:00+02:00","3",""
"2055","2010-03-30 13:21:24+02:00","2010-05-31 12:00:00","2",""
"2056","2010-03-30 12:22:48+02:00","2010-08-06 16:28:00+02:00","5",""

# Deployment Thur 31.05.2010
"2092","2010-05-31 12:00:01+02:00","2010-06-17 13:53:00","2",""

# Deployment Thur 17.06.2010
"2048","2010-06-17 13:53:01+02:00","2010-08-06 15:20:48+02:00","6","relay"
"2055","2010-06-17 13:53:01+02:00","2010-08-06 16:00:00+02:00","2",""

# Deployment Thur 6.08.2010
"2078","2010-08-06 14:43:00+02:00","2010-11-18 10:00:00+01:00","1",""
"2081","2010-08-06 16:00:00+02:00","2010-11-18 10:00:00+01:00","2",""
"2092","2010-08-06 16:15:00+02:00","2010-11-18 10:00:00+01:00","3",""
"2068","2010-08-06 16:20:00+02:00","2010-11-18 10:00:00+01:00","4",""
"2073","2010-08-06 16:28:00+02:00","2010-11-18 10:00:00+01:00","5",""
"2049","2010-08-06 15:20:48+02:00","2010-11-18 10:00:00+01:00","6",""

# Deployment Thur 18.11.2010
"2095","2010-11-18 14:00:00+01:00","9999-01-01 00:00:00","1",""
"2083","2010-11-18 14:00:00+01:00","9999-01-01 00:00:00","2",""
"2085","2010-11-18 14:00:00+01:00","9999-01-01 00:00:00","3",""
"2054","2010-11-18 14:00:00+01:00","9999-01-01 00:00:00","4",""
"2066","2010-11-18 14:00:00+01:00","9999-01-01 00:00:00","5",""
"2093","2010-11-18 14:00:00+01:00","9999-01-01 00:00:00","6",""


"7000","2011-03-01 00:00:00","9999-01-01 00:00:00","7","Thur ISCO CoreStation"

