"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","1",
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","2",
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","3",
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","4",
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","5",
