# vsname:imis_fka_2
# query:select rh, ta, rswr, pk, timed from imis_fka_2 where  timed > 1420066800000 and  timed <= 1428876000000 order by timed desc 
# altitude:2425
# name:imis_fka_2
# latitude:46.5766808291
# exposition:N/A
# longitude:8.4213608918
# geographical:Furka, Galenbodmen
# slope:0
# description:imis station fka_2
# time,rh,ta,rswr
# ,%,°C,W/m²
1420068600000,64.0,-4.7,3.0
1420070400000,62.0,-4.2,4.0
1420072200000,60.3,-3.7,3.0
1420074000000,58.7,-2.9,3.0
1420075800000,59.0,-2.8,3.0
1420077600000,57.3,-1.9,4.0
1420079400000,57.0,-1.8,3.0
1420081200000,57.7,-2.1,3.0
1420083000000,58.3,-2.3,3.0
1420084800000,58.3,-2.2,3.0
1420086600000,58.0,-2.3,3.0
1420088400000,60.3,-3.1,3.0
1420090200000,58.3,-2.4,3.0
1420092000000,55.3,-1.4,4.0
1420093800000,55.3,-1.0,10.0
1420095600000,53.0,-0.5,22.0
1420097400000,47.7,0.7,51.0
1420099200000,45.0,1.4,224.0
1420101000000,46.3,1.2,275.0
1420102800000,44.7,1.5,313.0
1420104600000,44.3,1.6,340.0
1420106400000,43.0,1.9,358.0
1420108200000,44.7,1.6,363.0
1420110000000,44.3,1.7,358.0
1420111800000,41.7,2.5,337.0
1420113600000,40.7,2.6,308.0
1420115400000,42.0,1.9,271.0
1420117200000,44.3,1.3,227.0
1420119000000,43.7,1.3,174.0
1420120800000,44.0,0.9,116.0
1420122600000,44.0,0.9,43.0
1420124400000,42.7,1.3,11.0
1420126200000,39.3,1.6,6.0
1420128000000,38.0,1.8,5.0
1420129800000,38.7,1.3,3.0
1420131600000,42.3,0.9,3.0
1420133400000,43.7,0.9,5.0
1420135200000,42.7,1.3,5.0
1420137000000,41.3,1.7,6.0
1420138800000,40.3,1.9,8.0
1420140600000,35.3,2.6,7.0
1420142400000,32.7,3.3,8.0
1420144200000,32.3,3.4,8.0
1420146000000,32.0,3.4,8.0
1420147800000,32.7,3.1,8.0
1420149600000,34.0,2.5,8.0
1420151400000,32.3,2.6,8.0
1420153200000,36.3,1.6,9.0
1420155000000,42.0,0.5,9.0
1420156800000,42.3,0.4,9.0
1420158600000,39.3,1.1,7.0
1420160400000,38.7,1.0,8.0
1420162200000,38.7,1.2,8.0
1420164000000,41.3,0.5,8.0
1420165800000,40.7,0.9,7.0
1420167600000,43.3,0.7,9.0
1420169400000,49.0,-0.5,9.0
1420171200000,48.7,-0.6,9.0
1420173000000,49.7,-0.9,9.0
1420174800000,46.3,-0.2,9.0
1420176600000,43.0,0.2,9.0
1420178400000,44.0,-0.1,9.0
1420180200000,45.0,-0.4,17.0
1420182000000,44.0,-0.3,37.0
1420183800000,44.0,-0.2,67.0
1420185600000,40.7,0.4,95.0
1420187400000,40.3,0.4,189.0
1420189200000,41.7,0.5,246.0
1420191000000,42.0,0.6,226.0
1420192800000,52.3,-0.9,227.0
1420194600000,51.3,-1.0,211.0
1420196400000,52.7,-1.3,195.0
1420198200000,52.3,-1.0,162.0
1420200000000,50.7,-0.3,127.0
1420201800000,53.0,-0.3,115.0
1420203600000,61.3,-0.9,100.0
1420205400000,73.0,-1.3,78.0
1420207200000,80.0,-2.2,44.0
1420209000000,92.3,-3.7,20.0
1420210800000,95.0,-3.5,9.0
1420212600000,93.3,-2.3,7.0
1420214400000,87.3,-0.4,8.0
1420216200000,81.0,1.2,7.0
1420218000000,83.7,0.4,7.0
1420219800000,92.7,-1.9,7.0
1420221600000,90.0,-0.7,7.0
1420223400000,88.0,0.0,7.0
1420225200000,77.3,1.2,7.0
1420227000000,64.7,0.9,6.0
1420228800000,94.3,-2.2,5.0
1420230600000,96.7,-2.8,5.0
1420232400000,88.3,-2.9,5.0
1420234200000,74.7,-2.3,6.0
1420236000000,46.7,-0.5,7.0
1420237800000,73.0,-2.6,6.0
1420239600000,67.3,-2.5,6.0
1420241400000,57.0,-1.8,7.0
1420243200000,89.7,-4.4,5.0
1420245000000,52.3,-1.6,7.0
1420246800000,46.0,-1.2,8.0
1420248600000,30.0,0.3,10.0
1420250400000,21.0,1.3,10.0
1420252200000,21.7,1.2,10.0
1420254000000,20.3,1.1,7.0
1420255800000,21.3,0.8,7.0
1420257600000,20.0,0.9,6.0
1420259400000,21.3,0.6,7.0
1420261200000,18.3,1.0,7.0
1420263000000,20.3,0.4,6.0
1420264800000,31.7,-1.0,7.0
1420266600000,39.3,-1.7,13.0
1420268400000,44.0,-1.6,32.0
1420270200000,45.0,-1.9,74.0
1420272000000,49.3,-2.0,180.0
1420273800000,47.3,-1.7,282.0
1420275600000,47.0,-1.7,343.0
1420277400000,47.7,-1.8,285.0
1420279200000,52.7,-2.1,295.0
1420281000000,55.0,-1.9,398.0
1420282800000,59.3,-2.2,403.0
1420284600000,61.3,-2.5,256.0
1420286400000,73.0,-2.9,219.0
1420288200000,89.7,-3.6,174.0
1420290000000,93.0,-3.3,109.0
1420291800000,93.0,-3.2,79.0
1420293600000,92.7,-2.9,54.0
1420295400000,93.3,-2.9,25.0
1420297200000,94.7,-2.7,12.0
1420299000000,96.0,-2.8,9.0
1420300800000,96.0,-2.7,9.0
1420302600000,95.3,-2.3,9.0
1420304400000,95.3,-2.2,9.0
1420306200000,94.0,-1.7,9.0
1420308000000,92.7,-1.5,9.0
1420309800000,87.3,-0.4,9.0
1420311600000,81.3,0.1,9.0
1420313400000,76.7,-0.3,9.0
1420315200000,80.0,-0.7,9.0
1420317000000,82.0,-1.0,9.0
1420318800000,72.3,-0.8,9.0
1420320600000,71.7,-0.9,9.0
1420322400000,82.7,-1.6,9.0
1420324200000,79.3,-1.4,9.0
1420326000000,76.7,-1.5,9.0
1420327800000,84.0,-2.2,7.0
1420329600000,89.7,-2.4,7.0
1420331400000,90.0,-2.3,7.0
1420333200000,84.3,-2.3,7.0
1420335000000,90.3,-2.5,6.0
1420336800000,86.3,-2.3,7.0
1420338600000,86.7,-2.7,7.0
1420340400000,86.7,-2.6,6.0
1420342200000,96.7,-3.4,5.0
1420344000000,97.0,-3.7,5.0
1420345800000,97.0,-3.7,7.0
1420347600000,97.0,-4.3,5.0
1420349400000,96.7,-4.7,5.0
1420351200000,96.0,-5.2,5.0
1420353000000,96.0,-5.8,8.0
1420354800000,96.0,-6.2,20.0
1420356600000,96.0,-6.5,49.0
1420358400000,95.0,-6.8,75.0
1420360200000,95.0,-7.1,130.0
1420362000000,95.0,-7.5,190.0
1420363800000,95.0,-7.5,163.0
1420365600000,95.0,-7.7,201.0
1420367400000,94.0,-8.8,339.0
1420369200000,93.7,-9.5,267.0
1420371000000,93.0,-9.9,180.0
1420372800000,91.3,-9.4,316.0
1420374600000,91.3,-9.4,221.0
1420376400000,91.0,-9.3,221.0
1420378200000,91.0,-9.2,168.0
1420380000000,90.7,-9.3,93.0
1420381800000,91.0,-9.2,68.0
1420383600000,89.0,-9.4,24.0
1420385400000,87.0,-9.5,7.0
1420387200000,84.7,-9.6,6.0
1420389000000,83.0,-9.5,7.0
1420390800000,80.3,-9.3,7.0
1420392600000,82.7,-9.6,6.0
1420394400000,71.7,-9.1,6.0
1420396200000,64.0,-8.9,7.0
1420398000000,59.0,-9.0,7.0
1420399800000,55.0,-8.9,8.0
1420401600000,53.3,-8.9,8.0
1420403400000,50.0,-8.7,8.0
1420405200000,49.7,-9.0,8.0
1420407000000,47.7,-9.1,8.0
1420408800000,45.0,-8.8,8.0
1420410600000,44.3,-8.6,8.0
1420412400000,43.0,-8.4,8.0
1420414200000,41.7,-8.2,8.0
1420416000000,40.0,-7.9,7.0
1420417800000,39.0,-7.7,8.0
1420419600000,36.7,-7.6,8.0
1420421400000,32.0,-7.3,8.0
1420423200000,27.3,-7.0,8.0
1420425000000,24.0,-6.5,8.0
1420426800000,22.0,-6.2,8.0
1420428600000,21.0,-6.0,8.0
1420430400000,18.0,-5.7,8.0
1420432200000,16.7,-5.4,8.0
1420434000000,17.0,-5.4,8.0
1420435800000,18.7,-5.4,8.0
1420437600000,17.3,-5.2,9.0
1420439400000,15.7,-4.7,14.0
1420441200000,23.0,-5.2,26.0
1420443000000,29.0,-4.1,65.0
1420444800000,30.3,-3.9,252.0
1420446600000,31.0,-4.4,305.0
1420448400000,30.7,-4.7,344.0
1420450200000,30.7,-6.1,373.0
1420452000000,27.7,-5.0,390.0
1420453800000,32.0,-5.7,393.0
1420455600000,32.7,-5.3,385.0
1420457400000,33.0,-5.3,366.0
1420459200000,34.3,-5.4,340.0
1420461000000,34.3,-4.8,299.0
1420462800000,34.7,-4.8,248.0
1420464600000,35.7,-4.4,193.0
1420466400000,38.3,-5.4,133.0
1420468200000,39.7,-6.0,59.0
1420470000000,40.3,-5.9,11.0
1420471800000,39.0,-5.7,4.0
1420473600000,38.3,-5.6,5.0
1420475400000,37.7,-5.4,5.0
1420477200000,38.3,-5.5,7.0
1420479000000,38.0,-5.1,7.0
1420480800000,38.0,-5.4,6.0
1420482600000,35.0,-4.6,8.0
1420484400000,33.0,-4.1,8.0
1420486200000,33.3,-4.4,8.0
1420488000000,33.3,-4.5,7.0
1420489800000,33.0,-4.4,7.0
1420491600000,32.0,-4.2,7.0
1420493400000,32.7,-4.3,5.0
1420495200000,33.7,-4.6,4.0
1420497000000,34.3,-4.5,3.0
1420498800000,36.3,-4.9,3.0
1420500600000,34.7,-4.6,4.0
1420502400000,36.3,-4.8,4.0
1420504200000,34.0,-4.5,4.0
1420506000000,31.3,-4.4,4.0
1420507800000,30.3,-4.0,4.0
1420509600000,28.7,-3.9,4.0
1420511400000,29.7,-3.9,4.0
1420513200000,30.7,-4.1,4.0
1420515000000,33.3,-4.2,3.0
1420516800000,33.0,-4.0,3.0
1420518600000,30.3,-3.8,4.0
1420520400000,30.0,-3.7,3.0
1420522200000,28.7,-3.8,4.0
1420524000000,26.7,-3.4,4.0
1420525800000,25.0,-3.3,13.0
1420527600000,25.0,-3.3,23.0
1420529400000,24.3,-2.8,64.0
1420531200000,24.0,-2.3,247.0
1420533000000,21.3,-1.7,302.0
1420534800000,24.7,-1.6,345.0
1420536600000,21.0,-0.9,369.0
1420538400000,20.0,-0.3,391.0
1420540200000,19.3,-0.1,392.0
1420542000000,20.0,-0.2,393.0
1420543800000,21.3,-0.6,371.0
1420545600000,20.3,-0.5,345.0
1420547400000,19.7,-0.8,284.0
1420549200000,18.3,-0.2,251.0
1420551000000,19.0,-1.0,192.0
1420552800000,19.3,-1.1,137.0
1420554600000,21.3,-2.0,59.0
1420556400000,21.3,-1.9,16.0
1420558200000,20.7,-1.9,7.0
1420560000000,20.7,-2.2,4.0
1420561800000,21.0,-2.5,6.0
1420563600000,20.0,-2.4,5.0
1420565400000,19.0,-2.1,5.0
1420567200000,19.0,-2.2,6.0
1420569000000,13.7,-0.8,7.0
1420570800000,17.3,-1.8,5.0
1420572600000,15.3,-1.5,8.0
1420574400000,15.0,-1.0,8.0
1420576200000,15.0,-1.0,8.0
1420578000000,13.7,-0.8,8.0
1420579800000,15.3,-1.4,6.0
1420581600000,19.0,-2.5,7.0
1420583400000,21.7,-2.6,7.0
1420585200000,31.7,-3.5,8.0
1420587000000,33.0,-3.5,8.0
1420588800000,36.7,-4.1,8.0
1420590600000,36.7,-4.4,9.0
1420592400000,38.0,-4.4,9.0
1420594200000,34.3,-4.0,8.0
1420596000000,35.3,-4.2,9.0
1420597800000,36.7,-4.5,9.0
1420599600000,35.3,-4.6,8.0
1420601400000,35.0,-4.7,8.0
1420603200000,35.0,-4.6,8.0
1420605000000,35.7,-4.6,8.0
1420606800000,34.0,-4.7,8.0
1420608600000,35.3,-4.7,8.0
1420610400000,37.3,-5.2,9.0
1420612200000,35.3,-5.5,13.0
1420614000000,40.3,-7.1,23.0
1420615800000,49.3,-8.3,63.0
1420617600000,44.0,-6.8,236.0
1420619400000,38.3,-5.6,291.0
1420621200000,35.7,-4.7,343.0
1420623000000,43.7,-6.1,364.0
1420624800000,40.3,-5.2,382.0
1420626600000,39.7,-4.7,388.0
1420628400000,40.7,-4.7,388.0
1420630200000,40.7,-4.5,370.0
1420632000000,43.3,-5.0,343.0
1420633800000,42.3,-5.0,307.0
1420635600000,42.0,-4.8,260.0
1420637400000,40.0,-4.7,204.0
1420639200000,41.3,-5.1,146.0
1420641000000,41.7,-5.2,71.0
1420642800000,43.0,-5.4,17.0
1420644600000,40.0,-5.4,9.0
1420646400000,48.0,-5.9,8.0
1420648200000,47.3,-6.0,8.0
1420650000000,45.7,-5.7,8.0
1420651800000,46.7,-5.8,8.0
1420653600000,46.0,-5.6,9.0
1420655400000,48.0,-5.8,9.0
1420657200000,46.3,-5.5,9.0
1420659000000,44.0,-5.3,9.0
1420660800000,41.3,-5.0,8.0
1420662600000,40.3,-4.6,9.0
1420664400000,41.3,-4.3,8.0
1420666200000,40.7,-4.1,8.0
1420668000000,37.0,-4.2,8.0
1420669800000,38.0,-5.0,8.0
1420671600000,41.0,-4.9,9.0
1420673400000,45.3,-5.2,9.0
1420675200000,48.0,-5.4,9.0
1420677000000,45.7,-5.1,8.0
1420678800000,30.0,-3.2,7.0
1420680600000,24.0,-3.0,5.0
1420682400000,26.0,-3.4,6.0
1420684200000,28.0,-3.6,7.0
1420686000000,34.3,-4.3,8.0
1420687800000,30.7,-4.2,8.0
1420689600000,27.3,-4.1,6.0
1420691400000,37.3,-4.7,9.0
1420693200000,34.3,-4.2,8.0
1420695000000,34.0,-4.3,8.0
1420696800000,30.7,-3.9,9.0
1420698600000,33.7,-4.3,16.0
1420700400000,32.3,-4.0,31.0
1420702200000,33.0,-3.8,74.0
1420704000000,24.7,-2.3,235.0
1420705800000,30.0,-2.6,285.0
1420707600000,29.7,-2.3,327.0
1420709400000,23.3,-1.1,352.0
1420711200000,21.7,-1.3,363.0
1420713000000,17.3,-0.8,381.0
1420714800000,15.7,-0.7,377.0
1420716600000,14.0,-0.3,358.0
1420718400000,14.0,0.1,330.0
1420720200000,15.0,-0.2,291.0
1420722000000,16.3,-0.6,248.0
1420723800000,18.0,-1.1,198.0
1420725600000,26.0,-2.2,161.0
1420727400000,34.3,-2.9,68.0
1420729200000,36.7,-3.1,20.0
1420731000000,39.3,-3.4,10.0
1420732800000,40.7,-3.7,9.0
1420734600000,40.7,-3.8,9.0
1420736400000,37.7,-3.8,8.0
1420738200000,41.0,-4.1,8.0
1420740000000,51.3,-4.1,8.0
1420741800000,73.3,-5.8,9.0
1420743600000,79.7,-6.8,9.0
1420745400000,92.3,-7.3,9.0
1420747200000,83.7,-5.2,8.0
1420749000000,90.3,-6.2,6.0
1420750800000,84.3,-5.6,8.0
1420752600000,67.0,-3.5,6.0
1420754400000,69.3,-4.0,6.0
1420756200000,88.0,-5.2,5.0
1420758000000,86.0,-5.5,7.0
1420759800000,61.7,-4.2,6.0
1420761600000,95.7,-6.5,4.0
1420763400000,94.0,-6.4,5.0
1420765200000,95.7,-6.6,5.0
1420767000000,50.0,-3.5,7.0
1420768800000,25.3,-1.3,7.0
1420770600000,30.3,-1.7,7.0
1420772400000,38.7,-2.1,6.0
1420774200000,46.7,-2.0,6.0
1420776000000,31.3,-0.4,6.0
1420777800000,28.7,0.0,6.0
